"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","test_returns_404_if_prediction_not_found","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionImage","test_prediction_image","",""
"","4","test_get_predictions_by_score_success","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"Check response format and status with empty DB","4","test_prediction_count_format","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestPredictionCount","test_prediction_count","",""
"","4","test_get_predictions_by_label_success","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionsByLabel","test_get_predictions_by_label","",""
"","5","test_delete_prediction_success","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestDeletePredictionEndpoint","test_delete_prediction","",""
"","13","test_delete_prediction_files_do_not_exist","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestDeletePredictionEndpoint","test_delete_prediction","",""
"Authenticated user: /predict returns processing time > 0","22","test_predict_includes_processing_time_with_auth","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestProcessingTime","test_prediction_time","",""
"Anonymous user: /predict returns processing time > 0","22","test_predict_includes_processing_time_without_auth","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestProcessingTime","test_prediction_time","",""
"","4","test_get_prediction_not_found","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionByUID","test_get_prediction_by_uid","",""
"","3","test_get_predictions_by_score_invalid","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"","3","test_returns_406_if_format_not_accepted","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionImage","test_prediction_image","",""
"","7","test_get_image_success","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetImageEndpoint","test_get_image","",""
"","3","test_get_image_invalid_type","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetImageEndpoint","test_get_image","",""
"","1","test_missing_password_raises_401","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestResolveUserId","test_auth","",""
"Only recent predictions should be counted","4","test_prediction_count_last_7_days","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestPredictionCount","test_prediction_count","",""
"","5","test_returns_jpeg_if_accepted","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionImage","test_prediction_image","",""
"","4","test_get_predictions_by_score_empty","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"Test that /health returns status ok","3","test_health_endpoint","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestHealthEndpoint","test_health","",""
"","3","test_returns_404_if_file_missing","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionImage","test_prediction_image","",""
"","38","test_detection_box_data_is_processed","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestPredictDetection","test_predict_detection","",""
"","5","test_create_user_if_not_exists","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestResolveUserId","test_auth","",""
"","3","test_get_predictions_by_label_empty","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionsByLabel","test_get_predictions_by_label","",""
"","4","test_stats_response_structure_and_values","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestStatsEndpoint","test_stats_endpoint","",""
